event_id,timestamp,log_type,severity,scenario,event_source,event_name,principal_id,arn,cloud_source_ip,tags_json,request_parameters_json,user_agent,verb,resource_name,namespace,username,pod_ip,is_privileged,labels_json,controller_owner,service_type,rbac_change,session_type,session_name,issuer,token_ttl_seconds,is_true_anomaly
ad0259ac-e2bd-4ed9-b1b7-d97b55b1f479,2026-06-20T00:00:16+00:00,cloudtrail,INFO,baseline,s3.amazonaws.com,CreateBucket,hpa-controller,arn:aws:iam::123456789012:user/hpa-controller,203.0.113.10,"{""Application"": ""payment-processor"", ""CostCenter"": ""cc-2030"", ""Environment"": ""stage"", ""ManagedBy"": ""ephemeral-risk-sim"", ""Owner"": ""hpa-controller""}","{""ephemeral"": true, ""region"": ""ap-south-1"", ""resource"": ""payment-processor-7cd87a8d""}",aws-cli/2,,,,,,,,,,,,,,,0
ddb38e75-db64-45c5-a27b-b2c572e68a35,2026-06-20T00:02:16+00:00,cloudtrail,INFO,baseline,s3.amazonaws.com,PutBucketTagging,hpa-controller,arn:aws:iam::123456789012:user/hpa-controller,203.0.113.10,"{""Application"": ""api-gateway"", ""CostCenter"": ""cc-3110"", ""Environment"": ""stage"", ""ManagedBy"": ""ephemeral-risk-sim"", ""Owner"": ""hpa-controller""}","{""ephemeral"": true, ""region"": ""ap-south-1"", ""resource"": ""api-gateway-2b03d044""}",aws-cli/2,,,,,,,,,,,,,,,0
22ce00eb-ea78-4d06-b4c9-acefd946d74f,2026-06-20T00:02:34+00:00,k8s_audit,INFO,baseline,,,,,,,,,scale-up,metrics-adapter-9f861018,kube-system,flux-controller,192.168.2.166,0.0,"{""app"": ""metrics-adapter"", ""env"": ""infra"", ""managed-by"": ""argocd"", ""owner"": ""identity""}",replicaset/metrics-adapter-rs,,,,,,,0
6b1011f0-9f71-40e9-b361-ec9db93c8d9a,2026-06-20T00:03:50+00:00,cloudtrail,INFO,baseline,sts.amazonaws.com,AssumeRole,dev-alice,arn:aws:sts::123456789012:assumed-role/CICDRole/dev-alice-6669d002,203.0.113.11,"{""Application"": ""metrics-adapter"", ""CostCenter"": ""cc-3110"", ""Environment"": ""infra"", ""ManagedBy"": ""ephemeral-risk-sim"", ""Owner"": ""dev-alice""}","{""ephemeral"": true, ""region"": ""us-east-1"", ""resource"": ""metrics-adapter-2d98cf5e""}",aws-cli/2,,,,,,,,,,,,,,,0
f525a9aa-fba8-4f90-a517-2e6ab18f3a6d,2026-06-20T00:04:02+00:00,k8s_audit,INFO,baseline,,,,,,,,,scale-down,auth-service-a75b9a69,production,github-actions-svc,10.0.2.218,0.0,"{""app"": ""auth-service"", ""env"": ""infra"", ""managed-by"": ""hpa"", ""owner"": ""platform""}",deployment/auth-service,ClusterIP,read-only-rolebinding,,,,,0
0105da0b-f725-4fad-aa13-fe1127d55aff,2026-06-20T00:04:31+00:00,k8s_audit,INFO,baseline,,,,,,,,,get,recommendation-engine-3a742730,kube-system,devops-pipeline,192.168.4.13,0.0,"{""app"": ""recommendation-engine"", ""env"": ""prod"", ""managed-by"": ""github-actions"", ""owner"": ""platform""}",job/recommendation-engine-cleanup,,,,,,,0
cdbe949a-cd5e-4d6d-b7b5-37858779cd80,2026-06-20T00:06:58+00:00,k8s_audit,INFO,baseline,,,,,,,,,delete,metrics-adapter-4522b780,staging,kube-scheduler,172.19.2.13,0.0,"{""app"": ""metrics-adapter"", ""env"": ""infra"", ""managed-by"": ""argocd"", ""owner"": ""identity""}",job/metrics-adapter-cleanup,ClusterIP,read-only-rolebinding,,,,,0
15fb754a-8db6-460c-91a3-a1fba487b37a,2026-06-20T00:07:31+00:00,k8s_audit,INFO,baseline,,,,,,,,,scale-up,metrics-adapter-e65cbd7b,production,kube-scheduler,172.19.1.236,0.0,"{""app"": ""metrics-adapter"", ""env"": ""prod"", ""managed-by"": ""argocd"", ""owner"": ""platform""}",job/metrics-adapter-cleanup,,read-only-rolebinding,,,,,0
503141aa-a3de-4d06-869d-e64d1de5fe32,2026-06-20T00:07:41+00:00,cloudtrail,INFO,baseline,sts.amazonaws.com,AssumeRoleWithWebIdentity,github-actions-svc,arn:aws:sts::123456789012:assumed-role/ProdDeployRole/github-actions-svc-3d5586fd,203.0.113.10,"{""Application"": ""session-broker"", ""CostCenter"": ""cc-2030"", ""Environment"": ""prod"", ""ManagedBy"": ""ephemeral-risk-sim"", ""Owner"": ""identity-platform""}","{""durationSeconds"": 1800, ""provider"": ""saml.corp.example"", ""sessionName"": ""github-actions-svc-97919023""}",terraform/1.8,,,,,,,,,,,service_account_token,github-actions-svc-48679a9775,corp-saml,1800.0,0
1ee5079e-99fe-4344-bdc5-aa8cd91242a3,2026-06-20T00:08:55+00:00,k8s_audit,INFO,baseline,,,,,,,,,scale-up,recommendation-engine-b1ee21b7,production,hpa-controller,172.19.2.213,0.0,"{""app"": ""recommendation-engine"", ""env"": ""infra"", ""managed-by"": ""github-actions"", ""owner"": ""payments""}",replicaset/recommendation-engine-rs,,,,,,,0
